open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1579623300000,8650.89,8656.64,8643.80,8648.51,793.682,1579624199999,6864989.41301,1228,325.222,2813237.44197,0
1579624200000,8648.51,8655.00,8628.19,8639.45,1417.228,1579625099999,12245075.51001,2619,578.504,4998415.73477,0
1579625100000,8639.38,8653.27,8635.42,8650.73,660.934,1579625999999,5712557.07925,1150,283.940,2454347.93572,0
1579626000000,8650.54,8650.54,8633.04,8646.00,755.677,1579626899999,6529841.41531,1269,314.950,2721347.08522,0
1579626900000,8646.00,8660.00,8640.23,8640.99,697.754,1579627799999,6034676.43520,1206,296.671,2566165.83776,0
1579627800000,8640.58,8649.44,8638.88,8646.07,235.048,1579628699999,2031607.50254,462,128.974,1114771.37061,0
1579628700000,8645.38,8658.89,8644.40,8654.40,538.498,1579629599999,4659847.31284,974,301.037,2605035.85140,0
1579629600000,8654.35,8654.95,8638.00,8640.47,563.748,1579630499999,4874892.07638,958,202.018,1747038.45255,0
1579630500000,8641.21,8643.00,8631.36,8634.00,629.079,1579631399999,5433748.70588,1148,201.348,1739015.20793,0
1579631400000,8634.01,8642.00,8624.16,8638.84,653.223,1579632299999,5638147.23755,1508,327.404,2826105.17454,0
1579632300000,8638.83,8643.80,8628.12,8638.85,440.032,1579633199999,3800134.50468,851,192.608,1663301.41681,0
1579633200000,8638.84,8648.71,8635.82,8640.81,953.928,1579634099999,8245360.97231,1391,560.601,4845585.97140,0
1579634100000,8640.81,8646.56,8636.35,8636.58,290.561,1579634999999,2511179.75314,593,118.962,1028109.46276,0
1579635000000,8636.57,8639.30,8448.60,8559.75,8009.253,1579635899999,68446621.81026,16293,2775.575,23721356.31956,0
1579635900000,8558.60,8568.02,8513.66,8536.51,4366.678,1579636799999,37295180.79769,10022,2115.147,18069301.79319,0
1579636800000,8536.11,8720.00,8534.00,8714.94,10435.751,1579637699999,90246452.56896,21645,6259.860,54131937.61684,0
1579637700000,8714.93,8728.30,8680.00,8705.99,5443.891,1579638599999,47378616.82451,11674,2856.864,24868491.30054,0
1579638600000,8706.52,8720.00,8682.60,8708.99,3328.183,1579639499999,28948469.33224,4895,1493.767,12995544.08506,0
1579639500000,8708.99,8724.83,8690.63,8724.33,1652.831,1579640399999,14388434.30145,2649,911.943,7940096.25606,0
1579640400000,8723.84,8790.10,8721.53,8768.11,6392.588,1579641299999,56024077.96078,12193,3625.329,31768960.34454,0
1579641300000,8768.83,8774.00,8726.33,8762.84,2559.288,1579642199999,22393969.93952,4435,1285.426,11247677.07671,0
1579642200000,8764.82,8768.81,8734.05,8753.00,1439.221,1579643099999,12592799.68995,2403,730.740,6393131.88732,0
1579643100000,8752.60,8755.79,8737.00,8738.04,1188.498,1579643999999,10397050.29960,1749,576.399,5042299.63832,0
1579644000000,8737.91,8748.21,8710.12,8721.08,1097.984,1579644899999,9585822.97849,2321,449.900,3928734.16042,0
1579644900000,8719.69,8729.88,8685.19,8726.00,1993.788,1579645799999,17362668.63303,3469,930.996,8111625.08303,0
1579645800000,8726.00,8744.69,8723.55,8743.00,792.047,1579646699999,6919165.21952,1585,484.387,4231530.66458,0
1579646700000,8743.30,8743.93,8730.00,8733.48,417.913,1579647599999,3650757.38926,780,221.655,1936144.96779,0
1579647600000,8734.64,8762.54,8733.67,8750.00,1161.671,1579648499999,10165231.25690,2082,656.553,5744824.59258,0
1579648500000,8750.00,8760.83,8746.29,8750.06,705.033,1579649399999,6171434.44871,1085,321.763,2816772.96078,0
1579649400000,8749.88,8756.96,8738.46,8754.41,696.824,1579650299999,6094771.67907,1143,342.338,2994362.27673,0
1579650300000,8754.41,8765.00,8736.12,8742.43,789.493,1579651199999,6911662.32572,1542,418.164,3660873.65577,0
1579651200000,8742.78,8764.00,8742.01,8755.71,939.797,1579652099999,8226133.62522,1738,483.685,4233310.54428,0
1579652100000,8755.81,8762.26,8740.04,8752.51,1170.194,1579652999999,10238778.80471,1715,617.538,5402959.30279,0
1579653000000,8752.52,8755.00,8728.92,8736.87,846.871,1579653899999,7403356.19505,1170,331.626,2899214.70129,0
1579653900000,8736.40,8748.99,8730.10,8745.30,582.313,1579654799999,5088865.77218,960,277.319,2423601.36893,0
1579654800000,8745.28,8747.40,8740.64,8745.00,353.964,1579655699999,3095041.22842,584,151.690,1326359.36041,0
1579655700000,8745.00,8747.99,8721.18,8724.19,859.984,1579656599999,7509623.98537,1327,348.172,3040191.59854,0
1579656600000,8724.14,8738.22,8724.14,8734.00,512.383,1579657499999,4474147.53730,933,298.403,2605449.30153,0
1579657500000,8733.99,8740.37,8732.30,8734.76,363.081,1579658399999,3171817.34350,668,192.848,1684654.34772,0
1579658400000,8734.81,8739.90,8731.68,8735.96,476.962,1579659299999,4166456.75210,584,256.749,2242881.56233,0
1579659300000,8737.30,8741.79,8717.00,8728.33,693.926,1579660199999,6057796.35637,1160,310.334,2709515.76836,0
1579660200000,8727.48,8729.60,8716.95,8724.78,519.986,1579661099999,4535856.94615,811,236.277,2061067.23789,0
1579661100000,8724.67,8726.63,8709.00,8725.34,853.692,1579661999999,7442086.83059,1421,434.947,3791979.11368,0
1579662000000,8726.00,8731.90,8718.15,8731.90,631.280,1579662899999,5507371.77093,967,313.371,2734052.69732,0
1579662900000,8731.91,8732.83,8724.05,8726.88,285.106,1579663799999,2488294.20076,486,128.894,1124898.52938,0
1579663800000,8726.87,8728.29,8716.11,8716.11,276.635,1579664699999,2413145.97711,505,106.359,927903.63859,0
1579664700000,8716.11,8728.00,8716.00,8722.71,357.798,1579665599999,3120526.64538,551,199.001,1735479.76363,0
1579665600000,8722.36,8736.09,8722.36,8728.44,430.169,1579666499999,3755485.87383,749,256.430,2238629.33119,0
1579666500000,8727.90,8738.32,8726.75,8733.55,380.926,1579667399999,3326431.54776,605,195.571,1707859.66432,0
1579667400000,8733.55,8740.00,8731.04,8735.89,354.647,1579668299999,3097863.93076,579,225.059,1965960.10379,0
